,code,name,cur_price,volume,high_price,low_price
570023,570023,TRUE 인버스 2X S&P500 선물 ETN(H),-7900,53785,8340,-7870
570013,570013,TRUE 유로선물 ETN,-9170,144,-9170,-9155
570014,570014,TRUE 인버스 유로선물 ETN,10735,0,0,0
570025,570025,TRUE 인버스 유로스탁스50 ETN(H) B,-9690,401,-9690,-9680
570026,570026,TRUE 레버리지 유로스탁스50 ETN(H),9705,4,9705,9705
570027,570027,TRUE 인버스 2X 유로스탁스50 ETN(H),-9310,8010,-9330,-9295
570010,570010,TRUE 엔선물 ETN,-8970,1,-8970,-8970
570011,570011,TRUE 레버리지 엔선물 ETN,-7565,3070,-7565,-7530
570012,570012,TRUE 인버스 엔선물 ETN,10905,10,10905,10905
570028,570028,TRUE 인버스 HSCEI ETN(H) B,-10355,372,-10470,-10355
570031,570031,TRUE 레버리지 HSCEI ETN(H),11285,3035,11350,11145
570032,570032,TRUE 인버스 2X HSCEI ETN(H),-8600,3347,-8760,-8570
580006,580006,KB KTOP30 ETN,10755,10,10755,10755
580007,580007,KB KQ 우량주30 ETN,13440,0,0,0
580008,580008,KB 코스피 양매도 5% OTM ETN,9755,0,0,0
590007,590007,미래에셋 미국 대형주 ETN(H),13885,0,0,0
590008,590008,미래에셋 미국 중형주 ETN(H),13370,262,13370,13370
590009,590009,미래에셋 미국 항공우주 ETN(H),17105,79,17180,17105
590010,590010,미래에셋 레버리지 S&P500 ETN(H),17270,2060,17270,17225
590011,590011,미래에셋 인버스 S&P500 ETN(H),-7100,2008,-7140,-7100
590013,590013,미래에셋 미국 리츠 ETN(H),10540,2,10540,10540
590016,590016,미래에셋 미국 헬스케어 ETN(H),12410,0,0,0
590017,590017,미래에셋 미국 고배당주 ETN(H),12285,13,12320,12285
590003,590003,미래에셋 유럽 대형주 ETN(H),11635,2,11635,11635
590004,590004,미래에셋 유럽 중형주 ETN(H),11435,0,0,0
590005,590005,미래에셋 일본 대형주 ETN(H),12770,1,12770,12770
590006,590006,미래에셋 일본 중형주 ETN(H),12325,8,12325,12270
590018,590018,미래에셋 중국 심천 100 ETN,9460,252,9460,-9090
590012,590012,미래에셋 글로벌 리츠 ETN(H),10665,0,0,0
700001,700001,하나 코스피 변동성추세 추종 양매도 ETN,9820,847,9820,9820
900140,900140,엘브이엠씨홀딩스,-2940,125036,3015,-2910
